"id","calories","carbs","datetime","fat","fiber","foodId","protein","sugar","servingAmount","servingId"
74,340.0,40.0,"2021-12-02 00:34:42.295081+00",14.0,2.0,59404,13.0,5.0,1.0,0
73,580.0,74.0,"2021-12-02 00:12:32.652856+00",20.0,4.0,59396,22.0,8.0,2.0,0
72,195.0,20.8,"2021-12-01 21:19:25.139423+00",11.7,1.3,95103,1.3,1.3,1.3,0
71,262.8,19.8,"2021-12-01 14:13:37.693265+00",14.24,0.0,794,14.1,23.04,4.38,7
70,291.2,68.98,"2021-12-01 14:12:50.049145+00",1.01,0.56,4630,5.35,6.12,0.8,2
69,150.0,13.4,"2021-12-01 04:26:17.745298+00",0.0,0.0,589094,1.64,0.0,1.0,0
68,1680.0,192.0,"2021-11-30 21:48:58.326735+00",66.0,12.0,27707,84.0,18.0,6.0,0
67,390.0,48.0,"2021-11-30 16:19:41.227711+00",21.0,5.0,684932,5.0,1.0,1.0,0
66,799.5,59.8,"2021-11-30 16:19:24.562+00",37.7,24.7,409141,42.9,7.8,1.3,0
65,700.0,68.0,"2021-11-29 20:37:06.390252+00",24.0,4.0,217498,42.0,10.0,2.0,0
64,802.0,125.0,"2021-11-29 17:39:31.346631+00",29.0,2.0,40355645,17.0,103.0,1.0,0
63,880.0,62.0,"2021-11-29 17:39:21.377063+00",54.0,2.0,9909546,38.0,4.0,2.0,0
62,578.0,22.0,"2021-11-29 17:39:11.020528+00",41.0,1.0,8342653,29.0,3.0,1.0,0
61,70.0,17.5,"2021-11-29 16:13:05.730236+00",0.0,0.0,3337543,0.0,17.0,0.5,0
60,70.0,17.5,"2021-11-29 15:55:45.99362+00",0.0,0.0,3337543,0.0,17.0,0.5,0
59,270.6,20.39,"2021-11-29 14:02:36.864239+00",14.66,0.0,794,14.52,23.72,4.51,7
58,316.68,75.01,"2021-11-29 14:01:23.135326+00",1.1,0.61,4630,5.82,6.66,0.87,2
57,802.0,125.0,"2021-11-29 02:07:07.40983+00",29.0,2.0,40355645,17.0,103.0,1.0,0
56,880.0,62.0,"2021-11-29 02:06:55.77614+00",54.0,2.0,9909546,38.0,4.0,2.0,0
55,578.0,22.0,"2021-11-29 02:06:44.251358+00",41.0,1.0,8342653,29.0,3.0,1.0,0
54,150.0,13.4,"2021-11-29 00:42:29.051338+00",0.0,0.0,589094,1.64,0.0,1.0,0
53,150.0,13.4,"2021-11-28 23:55:56.044331+00",0.0,0.0,589094,1.64,0.0,1.0,0
52,200.0,13.0,"2021-11-28 20:26:47.344624+00",0.0,0.0,304368,1.0,0.0,1.0,0
51,200.0,13.0,"2021-11-28 18:05:25.224664+00",0.0,0.0,304368,1.0,0.0,1.0,0
50,1680.0,192.0,"2021-11-28 17:56:28.564519+00",66.0,12.0,27707,84.0,18.0,6.0,0
49,390.0,43.0,"2021-11-28 14:16:53.309228+00",20.0,0.0,3243373,10.0,4.0,-1.0,-1
48,560.0,64.0,"2021-11-28 00:52:42.675947+00",22.0,4.0,27707,28.0,6.0,-1.0,-1
47,170.0,18.0,"2021-11-28 00:42:02.682647+00",0.0,0.0,245550,2.0,0.0,-1.0,-1
46,1120.0,128.0,"2021-11-28 00:32:20.803244+00",44.0,8.0,27707,56.0,12.0,-1.0,-1
45,314.4,23.68,"2021-11-27 18:14:25.229965+00",17.03,0.0,794,16.87,27.56,-1.0,-1
44,302.12,71.56,"2021-11-27 18:13:04.087257+00",1.05,0.58,4630,5.55,6.35,-1.0,-1
43,6.0,0.84,"2021-11-27 15:31:04.024087+00",0.15,0.0,2479602,0.33,0.22,-1.0,-1
42,382.0,40.93,"2021-11-26 23:06:28.217254+00",17.43,2.53,4891,15.17,3.39,-1.0,-1
41,288.0,15.66,"2021-11-26 22:52:53.03651+00",18.06,0.6,1738,14.94,0.84,-1.0,-1
40,153.0,12.64,"2021-11-26 22:44:39.776165+00",0.0,0.0,37716,1.64,0.0,-1.0,-1
39,213.0,26.96,"2021-11-26 18:47:18.319088+00",11.02,0.9,1147,2.89,18.22,-1.0,-1
38,322.5,66.63,"2021-11-26 17:51:59.692946+00",2.61,5.25,4513,7.49,1.02,-1.0,-1
37,616.25,18.91,"2021-11-26 17:51:45.421674+00",35.0,1.75,40186598,54.55,11.65,-1.0,-1
36,292.0,39.2,"2021-11-26 17:19:31.392718+00",14.02,3.2,4323,4.68,0.6,-1.0,-1
35,96.0,0.5,"2021-11-26 14:27:55.439667+00",6.46,0.0,3092,8.18,0.5,-1.0,-1
34,289.0,44.2,"2021-11-26 14:27:38.0974+00",8.5,1.7,25984692,5.1,8.5,-1.0,-1
33,270.0,41.4,"2021-11-26 14:17:21.339984+00",9.0,1.8,866246,3.6,19.8,-1.0,-1
32,91.0,2.14,"2021-11-26 00:12:19.38948+00",4.82,0.7,35144,9.3,0.0,-1.0,-1
31,316.0,40.92,"2021-11-26 00:04:00.91641+00",14.42,0.0,39037,6.98,0.0,-1.0,-1
30,316.0,40.92,"2021-11-25 23:51:35.292329+00",14.42,0.0,39037,6.98,0.0,-1.0,-1
29,316.0,40.92,"2021-11-25 20:04:14.352334+00",14.42,0.0,39037,6.98,0.0,-1.0,-1
28,72.0,2.28,"2021-11-25 19:59:08.673737+00",0.0,0.0,37749,0.06,0.84,-1.0,-1
27,72.0,2.28,"2021-11-25 17:47:53.822014+00",0.0,0.0,37749,0.06,0.84,-1.0,-1
26,493.0,52.15,"2021-11-25 17:45:58.148235+00",22.84,2.7,5057,19.29,8.72,-1.0,-1
25,91.0,2.14,"2021-11-25 17:45:34.441752+00",4.82,0.7,35144,9.3,0.0,-1.0,-1
24,315.0,49.52,"2021-11-25 17:45:23.904795+00",11.15,4.05,5777,5.67,4.35,-1.0,-1
23,416.0,37.02,"2021-11-25 13:50:31.061631+00",22.97,0.9,3159,15.31,4.52,-1.0,-1
22,130.0,9.0,"2021-11-25 01:44:59.643558+00",0.0,0.0,29111612,0.0,9.0,-1.0,-1
21,336.0,35.43,"2021-11-25 00:07:02.41264+00",12.38,2.7,4989,20.52,5.6,-1.0,-1
20,83.0,2.58,"2021-11-24 23:49:03.502033+00",0.0,0.0,37749,0.07,0.95,-1.0,-1
19,336.0,35.43,"2021-11-24 23:46:48.709867+00",12.38,2.7,4989,20.52,5.6,-1.0,-1
18,137.0,18.8,"2021-11-24 16:50:40.281848+00",5.1,0.7,3451,3.74,0.85,-1.0,-1
17,204.0,44.08,"2021-11-24 16:50:14.067056+00",0.44,0.6,4501,4.2,0.08,-1.0,-1
16,70.0,10.3,"2021-11-24 16:36:30.36371+00",2.8,0.0,3451,2.0,0.5,-1.0,-1
15,408.0,88.16,"2021-11-24 16:35:57.102959+00",0.88,1.2,4501,8.4,0.16,-1.0,-1
14,410.2,15.67,"2021-11-24 16:35:42.542982+00",22.04,2.94,2261,37.9,6.85,-1.0,-1
13,522.5,54.43,"2021-11-24 00:43:28.019425+00",14.75,7.5,2436,42.45,5.93,-1.0,-1
12,150.0,15.0,"2021-11-24 00:22:54.555689+00",0.0,0.0,1810880,1.0,7.0,-1.0,-1
11,0.0,0.0,"2021-11-23 21:15:21.637013+00",0.0,0.0,17163774,0.0,0.0,-1.0,-1
10,1060.0,78.0,"2021-11-23 17:59:58.373474+00",62.0,4.0,1927939,46.0,6.0,-1.0,-1
9,1590.0,117.0,"2021-11-23 17:43:26.367886+00",93.0,6.0,1927939,69.0,9.0,-1.0,-1
8,642.0,83.43,"2021-11-23 02:00:55.271433+00",32.91,7.8,5762,8.13,1.35,-1.0,-1
7,550.0,35.0,"2021-11-23 02:00:02.723305+00",30.0,5.0,702678,40.0,5.0,-1.0,-1
6,168.0,15.0,"2021-11-23 01:26:17.825373+00",0.0,0.0,3069772,2.2,0.0,-1.0,-1
5,802.0,125.0,"2021-11-22 18:41:37.037883+00",29.0,2.0,40355645,17.0,103.0,-1.0,-1
4,880.0,62.0,"2021-11-22 18:41:14.807079+00",54.0,2.0,9909546,38.0,4.0,-1.0,-1
3,578.0,22.0,"2021-11-22 18:40:46.815633+00",41.0,1.0,8342653,29.0,3.0,-1.0,-1
2,2.0,0.07,"2021-11-22 13:18:27.911575+00",0.04,0.0,7331,0.21,0.0,-1.0,-1
